SK_ID_CURR;NAME_CAR;PRICE_CAR;DOWN_PAYMENT;PERCENT_DOWN_PAYMENT;INTEREST_RATE;AMT_CREDIT;AMT_ANNUITY;INCOME_TOTAL;TENOR;RATIO_DTI;DATA_BLACKLIST;DEBITUR;AGE;OCCUPATION_TYPE;TOTAL_DEPENDENTS;NAME_HOUSING_TYPE;PARTNER_OCCUPATION;SCOR;TARGET
100241;MAZDA MX-5;943300000;292423000;31,00%;0,08;650877000;10870021,96;25125046;60;43,3;Ada;Baru;26;Profesional;1;Milik Sendiri;Karyawan;38;1
100245;MAZDA 6;717700000;279903000;39,00%;0,08;437797000;7311462,846;28973433;60;25,2;Tidak Ada;Lama;35;Profesional;3;Milik Sendiri;Karyawan;98;0
100253;MAZDA 3;583800000;297738000;51,00%;0,04;286062000;7951067,756;28568534;36;27,8;Tidak Ada;Baru;46;Profesional;2;Milik Sendiri;Tidak Bekerja;98;0
100256;MAZDA 3;583800000;280224000;48,00%;0,06;303576000;5067319,684;8823171;60;57,4;Tidak Ada;Baru;46;Swasta Nasional;3;KPR;Tidak Bekerja;55;1
100271;MAZDA CX-8;828800000;404192000;48,77%;0,06;424608000;7087597,426;19577067;60;36,2;Tidak Ada;Baru;25;Karyawan;0;Sewa;Karyawan;78;0
100278;MAZDA CX-60;1188800000;618176000;52,00%;0,04;570624000;9520072,076;22349145;60;42,6;Tidak Ada;Lama;29;Profesional;1;Milik Sendiri;Tidak Bekerja;68;0
100280;MAZDA 6;717700000;294257000;41,00%;0,06;423443000;8832540,017;42381731;48;20,8;Tidak Ada;Baru;46;Profesional;3;Milik Sendiri;Tidak Bekerja;98;0
100306;MAZDA MX-5;943300000;547114000;58,00%;0,04;396186000;8260617,425;29267620;48;28,2;Tidak Ada;Baru;42;Profesional;1;KPR;Tidak Bekerja;98;0
100311;MAZDA 6;717700000;344496000;48,00%;0,06;373204000;7784611,541;26744060;48;29,1;Tidak Ada;Baru;47;Profesional;1;KPR; profesional;98;0
100312; MAZDA CX-5;647700000;297942000;46,00%;0,06;349758000;5838194,053;9596956;60;60,8;Tidak Ada;Lama;49;Swasta Nasional;1;Orang Tua;Tidak Bekerja;55;1
100330;MAZDA MX-30 EV;860000000;430000000;50,00%;0,06;430000000;7177601,207;22481438;60;31,9;Tidak Ada;Baru;47;Profesional;2;KPR; profesional;83;0
100331;MAZDA 6;717700000;344496000;48,00%;0,06;373204000;7784611,541;23014286;48;33,8;Tidak Ada;Baru;53;Profesional;2;KPR;Tidak Bekerja;83;0
100352;MAZDA 2;371100000;200394000;54,00%;0,04;170706000;2847993,466;45208730;60;6,3;Tidak Ada;Lama;50;Profesional;2;KPR;Tidak Bekerja;100;0
100358;MAZDA 2;371100000;155862000;42,00%;0,06;215238000;4489620,205;39865661;48;11,3;Tidak Ada;Lama;46;Profesional;1;Milik Sendiri;Tidak Bekerja;98;0
100367; MAZDA CX-5;647700000;350126000;54,06%;0,04;297574000;4964610,545;11294998;60;44,0;Ada;Baru;52;Karyawan;2;Sewa;Tidak Bekerja;33;1
100382;MAZDA CX-3;403300000;185518000;46,00%;0,06;217782000;4542685,155;46357154;48;9,8;Tidak Ada;Baru;42;Profesional;3;Milik Sendiri; profesional;100;0
100384;MAZDA 6;717700000;337319000;47,00%;0,06;380381000;6349356,104;12941053;60;49,1;Tidak Ada;Baru;53;Karyawan;3;Sewa;Karyawan;63;0
100385;MAZDA CX-8;828800000;464128000;56,00%;0,04;364672000;6084047,856;29900044;60;20,3;Tidak Ada;Baru;26;Profesional;0;Milik Sendiri;Karyawan;98;0
100386;MAZDA MX-5;943300000;377320000;40,00%;0,08;565980000;15741064,26;42943663;36;36,7;Tidak Ada;Baru;39;Profesional;1;KPR;Tidak Bekerja;83;0
100399;MAZDA CX-3;403300000;229881000;57,00%;0,04;173419000;2893256,118;25101765;60;11,5;Tidak Ada;Lama;51;Profesional;1;Milik Sendiri; profesional;100;0
100404;MAZDA 6;717700000;279903000;39,00%;0,08;437797000;12176032,21;31161109;36;39,1;Tidak Ada;Baru;43;Profesional;1;KPR;Tidak Bekerja;83;0
100416;MAZDA CX-3;403300000;237947000;59,00%;0,04;165353000;3447668,199;28161333;48;12,2;Tidak Ada;Baru;27;Profesional;0;Milik Sendiri;Tidak Bekerja;98;0
100422;MAZDA 3;583800000;297738000;51,00%;0,04;286062000;4772548,75;20916017;60;22,8;Tidak Ada;Baru;23;Profesional;1;Milik Sendiri;Tidak Bekerja;98;0
100426;MAZDA MX-30 EV;860000000;464400000;54,00%;0,04;395600000;16490202,27;41282596;24;39,9;Tidak Ada;Lama;43;Profesional;3;KPR;Tidak Bekerja;85;0
100438;MAZDA CX-60;1188800000;499296000;42,00%;0,06;689504000;11509266,84;20331467;60;56,6;Tidak Ada;Lama;25;Profesional;0;KPR;Tidak Bekerja;68;0
100444;MAZDA CX-3;403300000;233914000;58,00%;0,04;169386000;4708068,75;14325858;36;32,9;Tidak Ada;Lama;41;Karyawan;1;Sewa;Tidak Bekerja;80;0
100445;MAZDA 6;717700000;222487000;31,00%;0,08;495213000;8270343,22;15328258;60;54,0;Tidak Ada;Baru;40;Karyawan;2;Orang Tua;Tidak Bekerja;63;0
100446;MAZDA 6;717700000;315788000;44,00%;0,06;401912000;11174552,14;21458980;36;52,1;Tidak Ada;Baru;37;Profesional;2;Milik Sendiri;Tidak Bekerja;68;0
100447;MAZDA MX-30 EV;860000000;438600000;51,00%;0,04;421400000;7030476,063;10823939;60;65,0;Tidak Ada;Lama;34;Karyawan;1;Orang Tua;Karyawan;63;0
100450;MAZDA CX-3;403300000;129056000;32,00%;0,08;274244000;7627287,939;49980976;36;15,3;Tidak Ada;Baru;27;Profesional;1;KPR;Tidak Bekerja;98;0
100466;MAZDA CX-60;1188800000;618176000;52,00%;0,04;570624000;11897711,07;48222960;48;24,7;Tidak Ada;Lama;34;Profesional;1;KPR;Tidak Bekerja;98;0
100483;MAZDA 3;583800000;332766000;57,00%;0,04;251034000;4188155,026;7317506;60;57,2;Tidak Ada;Baru;33;Wiraswasta;1;Sewa;Wiraswasta;51;1
100484; MAZDA CX-5;647700000;278511000;43,00%;0,06;369189000;10264738,87;46019269;36;22,3;Tidak Ada;Lama;26;Profesional;1;Milik Sendiri;Tidak Bekerja;98;0
100494;MAZDA CX-3;403300000;189551000;47,00%;0,06;213749000;3567918,791;19195645;60;18,6;Ada;Baru;47;Karyawan;2;KPR;Tidak Bekerja;65;0
100510;MAZDA MX-5;943300000;481083000;51,00%;0,04;462217000;9637386,995;22912897;48;42,1;Tidak Ada;Baru;28;Profesional;0;KPR;Karyawan;68;0
100512;MAZDA CX-9;955500000;468195000;49,00%;0,06;487305000;8134141,758;32221647;60;25,2;Tidak Ada;Baru;48;Profesional;1;KPR; profesional;100;0
100517;MAZDA MX-30 EV;860000000;292400000;34,00%;0,08;567600000;11844324,25;19268344;48;61,5;Tidak Ada;Baru;33;Karyawan;2;Sewa;Tidak Bekerja;63;0
100548;MAZDA MX-30 EV;860000000;516000000;60,00%;0,04;344000000;7172520,973;24242875;48;29,6;Tidak Ada;Lama;51;Profesional;2;KPR; profesional;98;0
100551;MAZDA 6;717700000;394735000;55,00%;0,04;322965000;5388224,256;9762868;60;55,2;Tidak Ada;Baru;53;Swasta Nasional;2;Orang Tua;Tidak Bekerja;55;1
100552;MAZDA CX-8;828800000;248640000;30,00%;0,12;580160000;9698853,798;47022099;60;20,6;Ada;Baru;41;Profesional;3;Milik Sendiri;Karyawan;68;0
100553;MAZDA CX-3;403300000;209716000;52,00%;0,04;193584000;3229681,248;7362847;60;43,9;Tidak Ada;Baru;27;Wiraswasta;0;Sewa;Wiraswasta;53;1
100561;MAZDA CX-60;1188800000;606288000;51,00%;0,04;582512000;11212051,89;40031889;52;28,0;Tidak Ada;Baru;34;Profesional;3;Milik Sendiri;Tidak Bekerja;98;0
100568;MAZDA MX-30 EV;860000000;275200000;32,00%;0,08;584800000;9766497,88;25597431;60;38,2;Tidak Ada;Baru;54;Profesional;2;Milik Sendiri;Tidak Bekerja;83;0
100569;MAZDA CX-60;1188800000;427968000;36,00%;0,08;760832000;12706333,99;26052300;60;48,8;Tidak Ada;Baru;45;Profesional;1;Milik Sendiri;Karyawan;68;0
100591;MAZDA CX-9;955500000;468195000;49,00%;0,06;487305000;8134141,758;48808105;60;16,7;Tidak Ada;Baru;32;Profesional;2;KPR;Karyawan;98;0
100592;MAZDA 6;717700000;229664000;32,00%;0,08;488036000;8150483,173;46117080;60;17,7;Tidak Ada;Baru;41;Profesional;2;KPR; profesional;98;0
100602;MAZDA CX-8;828800000;406112000;49,00%;0,06;422688000;7055548,602;11448688;60;61,6;Tidak Ada;Baru;37;Karyawan;3;KPR;Tidak Bekerja;63;0
100607;MAZDA MX-5;943300000;518815000;55,00%;0,04;424485000;7081945,02;33413403;60;21,2;Tidak Ada;Baru;38;Profesional;3;Milik Sendiri; profesional;98;0
100613;MAZDA MX-5;943300000;556547000;59,00%;0,04;386753000;8063936,057;47495092;48;17,0;Tidak Ada;Baru;32;Profesional;3;KPR;Karyawan;98;0
100617;MAZDA CX-8;828800000;348096000;42,00%;0,06;480704000;8023957,234;26351009;60;30,5;Tidak Ada;Lama;45;Profesional;3;Milik Sendiri; profesional;83;0
100618;MAZDA 6;717700000;322965000;45,00%;0,06;394735000;6588954,447;48740328;60;13,5;Tidak Ada;Baru;38;Profesional;3;KPR;Karyawan;98;0
100622;MAZDA CX-8;828800000;273504000;33,00%;0,08;555296000;9273764,034;31251023;60;29,7;Tidak Ada;Lama;32;Profesional;1;KPR;Karyawan;100;0
100625;MAZDA 6;717700000;229664000;32,00%;0,08;488036000;20351783,36;47895736;24;42,5;Tidak Ada;Baru;52;Profesional;2;Milik Sendiri;Tidak Bekerja;68;0
100677;MAZDA MX-5;943300000;377320000;40,00%;0,08;565980000;9452193,007;28976818;60;32,6;Tidak Ada;Lama;32;Profesional;1;KPR;Tidak Bekerja;83;0
100699;MAZDA CX-60;1188800000;689504000;58,00%;0,04;499296000;8330063,066;15490519;60;53,8;Ada;Baru;37;Karyawan;3;Orang Tua;Swasta Nasional;33;1
100702;MAZDA MX-5;943300000;311289000;33,00%;0,08;632011000;10554948,86;34587198;60;30,5;Tidak Ada;Lama;37;Profesional;2;Milik Sendiri;Tidak Bekerja;83;0
100711;MAZDA 3;583800000;326928000;56,00%;0,04;256872000;4285553,98;40659610;60;10,5;Tidak Ada;Baru;27;Profesional;1;KPR;Tidak Bekerja;100;0
100729;MAZDA 3;583800000;338604000;58,00%;0,04;245196000;5112422,827;26999964;48;18,9;Tidak Ada;Baru;53;Profesional;2;Milik Sendiri;Karyawan;98;0
100740;MAZDA 3;583800000;350280000;60,00%;0,04;233520000;3895958,164;9255672;60;42,1;Tidak Ada;Baru;42;Swasta Nasional;1;KPR;Tidak Bekerja;55;1
100744;MAZDA 3;583800000;309414000;53,00%;0,04;274386000;4577750,842;35239632;60;13,0;Tidak Ada;Baru;35;Profesional;2;Milik Sendiri;Tidak Bekerja;100;0
100745;MAZDA CX-3;403300000;229881000;57,00%;0,04;173419000;3615847,135;6047619;48;59,8;Tidak Ada;Baru;54;Wiraswasta;0;Sewa;Wiraswasta;51;1
100747;MAZDA CX-60;1188800000;356640000;30,00%;0,12;832160000;13911676,39;27639580;60;50,3;Tidak Ada;Baru;49;Profesional;2;Milik Sendiri;Tidak Bekerja;70;0
100751;MAZDA 3;583800000;175140000;30,00%;0,12;408660000;8534625,026;19040713;48;44,8;Tidak Ada;Lama;42;Karyawan;2;Orang Tua;Swasta Nasional;63;0
100752;MAZDA CX-9;955500000;334425000;35,00%;0,08;621075000;12960207,34;49798029;48;26,0;Tidak Ada;Baru;47;Profesional;1;Milik Sendiri;Tidak Bekerja;98;0
100753; MAZDA CX-5;647700000;278511000;43,00%;0,06;369189000;7700863,201;45462174;48;16,9;Tidak Ada;Baru;50;Profesional;3;Milik Sendiri;Karyawan;100;0
100754;MAZDA MX-30 EV;860000000;301000000;35,00%;0,08;559000000;9335622,974;33603967;60;27,8;Tidak Ada;Baru;32;Profesional;1;KPR; profesional;98;0
100760;MAZDA CX-30;585500000;257620000;44,00%;0,06;327880000;5473004,381;38856085;60;14,1;Tidak Ada;Lama;35;Profesional;2;Milik Sendiri;Tidak Bekerja;98;0
100762;MAZDA CX-9;955500000;535080000;56,00%;0,04;420420000;7014126,118;48537473;60;14,5;Tidak Ada;Baru;30;Profesional;3;KPR; profesional;100;0
100763;MAZDA 6;717700000;265549000;37,00%;0,08;452151000;7551182,94;20693178;60;36,5;Tidak Ada;Lama;49;Profesional;2;Milik Sendiri;Tidak Bekerja;83;0
100765;MAZDA 6;717700000;215310000;30,00%;0,12;502390000;8398729,936;34763428;60;24,2;Tidak Ada;Baru;54;Profesional;2;Milik Sendiri;Tidak Bekerja;100;0
100770;MAZDA CX-8;828800000;290080000;35,00%;0,08;538720000;8996935,257;12345903;60;72,9;Tidak Ada;Baru;30;Karyawan;3;Sewa;Karyawan;63;0
100772;MAZDA CX-30;585500000;193215000;33,00%;0,08;392285000;6551386,151;13544963;60;48,4;Tidak Ada;Baru;25;Karyawan;1;Orang Tua;Tidak Bekerja;63;0
100777;MAZDA CX-3;403300000;229881000;57,00%;0,04;173419000;2893256,118;6835525;60;42,3;Tidak Ada;Lama;50;Wiraswasta;2;Sewa;Wiraswasta;53;1
100791;MAZDA 2;371100000;152151000;41,00%;0,06;218949000;9128577,89;24048616;24;38,0;Tidak Ada;Baru;52;Profesional;3;KPR;Tidak Bekerja;83;0
100792;MAZDA CX-30;585500000;351300000;60,00%;0,04;234200000;9762399,825;32584094;24;30,0;Tidak Ada;Baru;47;Profesional;2;Milik Sendiri; profesional;98;0
100797;MAZDA 6;717700000;251195000;35,00%;0,08;466505000;7790903,033;37241344;60;20,9;Tidak Ada;Baru;26;Profesional;0;Milik Sendiri;Karyawan;98;0
100823;MAZDA CX-9;955500000;343980000;36,00%;0,08;611520000;17007625,04;34261969;36;49,6;Tidak Ada;Baru;30;Profesional;1;Milik Sendiri;Tidak Bekerja;68;0
100826;MAZDA CX-30;585500000;275185000;47,00%;0,06;310315000;6472818,432;12922805;48;50,1;Tidak Ada;Baru;40;Karyawan;3;Sewa;Karyawan;65;0
100830;MAZDA 2;371100000;196683000;53,00%;0,04;174417000;2909906,368;7572735;60;38,4;Tidak Ada;Baru;53;Wiraswasta;0;Sewa;Wiraswasta;66;0
100836;MAZDA CX-3;403300000;169386000;42,00%;0,06;233914000;3904514,904;36652666;60;10,7;Tidak Ada;Lama;48;Profesional;3;KPR;Tidak Bekerja;98;0
100872;MAZDA CX-60;1188800000;653840000;55,00%;0,04;534960000;8925067,571;29169952;60;30,6;Tidak Ada;Baru;37;Profesional;2;Milik Sendiri;Tidak Bekerja;83;0
100910;MAZDA 3;583800000;350280000;60,00%;0,04;233520000;6490667,556;22861872;36;28,4;Tidak Ada;Baru;42;Profesional;2;Milik Sendiri;Tidak Bekerja;98;0
100913;MAZDA CX-30;585500000;275185000;47,00%;0,06;310315000;5179807,717;9097694;60;56,9;Tidak Ada;Baru;32;Swasta Nasional;2;KPR;Tidak Bekerja;55;1
100918;MAZDA CX-8;828800000;273504000;33,00%;0,08;555296000;15443920,32;30435761;36;50,7;Tidak Ada;Baru;43;Profesional;2;Milik Sendiri;Tidak Bekerja;68;0
100931;MAZDA 3;583800000;268548000;46,00%;0,06;315252000;6575798,645;33779190;48;19,5;Tidak Ada;Baru;51;Profesional;2;Milik Sendiri; profesional;98;0
100952;MAZDA MX-30 EV;860000000;344000000;40,00%;0,08;516000000;14351017,99;34386988;36;41,7;Tidak Ada;Baru;29;Profesional;0;Milik Sendiri;Tidak Bekerja;70;0
100953;MAZDA CX-30;585500000;234200000;40,00%;0,08;351300000;9770373,291;23987734;36;40,7;Tidak Ada;Baru;47;Profesional;3;Milik Sendiri;Karyawan;68;0
100965;MAZDA 3;583800000;239358000;41,00%;0,06;344442000;9576686,16;26532046;36;36,1;Tidak Ada;Baru;25;Profesional;0;KPR; profesional;83;0
100970;MAZDA CX-30;585500000;240055000;41,00%;0,06;345445000;14402539,35;37213745;24;38,7;Tidak Ada;Baru;28;Profesional;1;KPR;Karyawan;83;0
100982;MAZDA 6;717700000;416266000;58,00%;0,04;301434000;5029009,306;38391749;60;13,1;Tidak Ada;Baru;25;Profesional;1;KPR;Tidak Bekerja;98;0
100983;MAZDA CX-8;828800000;455840000;55,00%;0,04;372960000;6222321,671;48071726;60;12,9;Tidak Ada;Baru;46;Profesional;3;KPR;Tidak Bekerja;98;0
100984;MAZDA 3;583800000;268548000;46,00%;0,06;315252000;5262216,594;45735938;60;11,5;Tidak Ada;Lama;35;Profesional;1;Milik Sendiri;Tidak Bekerja;98;0
100987;MAZDA 3;583800000;286062000;49,00%;0,06;297738000;6210476,498;26611772;48;23,3;Tidak Ada;Baru;28;Profesional;1;Milik Sendiri; profesional;98;0
100997;MAZDA MX-30 EV;860000000;438600000;51,00%;0,04;421400000;7030476,063;35682802;60;19,7;Tidak Ada;Baru;35;Profesional;2;KPR;Karyawan;98;0
100998;MAZDA CX-30;585500000;228345000;39,00%;0,08;357155000;5964694,854;8472897;60;70,4;Tidak Ada;Baru;50;Swasta Nasional;3;KPR;Tidak Bekerja;55;1
101002;MAZDA CX-3;403300000;137122000;34,00%;0,08;266178000;4445326,39;21540262;60;20,6;Tidak Ada;Baru;42;Profesional;1;KPR;Tidak Bekerja;98;0
101005;MAZDA 3;583800000;221844000;38,00%;0,08;361956000;7553072,99;46986460;48;16,1;Tidak Ada;Lama;31;Profesional;1;KPR;Karyawan;100;0
101008;MAZDA MX-30 EV;860000000;404200000;47,00%;0,06;455800000;7608257,279;40827346;60;18,6;Ada;Lama;43;Profesional;2;KPR;Karyawan;68;0
101020;MAZDA 2;371100000;181839000;49,00%;0,06;189261000;7890804,617;46017608;24;17,1;Tidak Ada;Baru;37;Profesional;3;KPR;Tidak Bekerja;100;0
101021;MAZDA CX-9;955500000;296205000;31,00%;0,08;659295000;13757758,56;41022628;48;33,5;Tidak Ada;Baru;48;Profesional;2;KPR;Tidak Bekerja;83;0
101024;MAZDA MX-30 EV;860000000;404200000;47,00%;0,06;455800000;12672826,05;32000838;36;39,6;Tidak Ada;Baru;54;Profesional;2;KPR;Tidak Bekerja;85;0
101025;MAZDA 3;583800000;251034000;43,00%;0,06;332766000;9252052,731;23370333;36;39,6;Tidak Ada;Lama;39;Profesional;1;KPR;Karyawan;83;0
101026;MAZDA CX-9;955500000;487305000;51,00%;0,04;468195000;7811185,904;37327484;60;20,9;Tidak Ada;Lama;31;Profesional;2;Milik Sendiri;Tidak Bekerja;98;0
101031;MAZDA CX-3;403300000;193584000;48,00%;0,06;209716000;4374437,557;49399606;48;8,9;Tidak Ada;Baru;44;Profesional;1;Milik Sendiri;Karyawan;98;0
101041;MAZDA CX-9;955500000;315315000;33,00%;0,08;640185000;17804857,46;46246414;36;38,5;Tidak Ada;Lama;30;Profesional;2;KPR; profesional;85;0
101051;MAZDA MX-5;943300000;349021000;37,00%;0,08;594279000;12401045,05;46946407;48;26,4;Tidak Ada;Baru;35;Profesional;2;Milik Sendiri;Tidak Bekerja;98;0
101055;MAZDA MX-5;943300000;518815000;55,00%;0,04;424485000;11798522,68;31460741;36;37,5;Tidak Ada;Baru;30;Profesional;2;KPR;Tidak Bekerja;83;0
101056;MAZDA CX-60;1188800000;701392000;59,00%;0,04;487408000;13547461,85;36436678;36;37,2;Tidak Ada;Baru;34;Profesional;2;KPR;Tidak Bekerja;83;0
101057;MAZDA MX-5;943300000;509382000;54,00%;0,04;433918000;9047342,894;39067443;48;23,2;Ada;Baru;39;Profesional;1;KPR;Karyawan;68;0
101064;MAZDA CX-8;828800000;339808000;41,00%;0,06;488992000;10199817,7;17247049;48;59,1;Tidak Ada;Lama;30;Karyawan;3;KPR;Swasta Nasional;63;0
101079;MAZDA 3;583800000;356640000;61,09%;0,04;227160000;6313891,923;21864979;36;28,9;Tidak Ada;Baru;38;Profesional;3;KPR;Tidak Bekerja;98;0
101087;MAZDA CX-9;955500000;468195000;49,00%;0,06;487305000;13548774,68;42009929;36;32,3;Tidak Ada;Baru;43;Profesional;1;KPR; profesional;83;0
101090;MAZDA CX-8;828800000;348096000;42,00%;0,06;480704000;8023957,234;35424094;60;22,7;Tidak Ada;Baru;45;Profesional;2;KPR;Karyawan;98;0
101092;MAZDA CX-3;403300000;209716000;52,00%;0,04;193584000;5380650;18384460;36;29,3;Tidak Ada;Baru;42;Karyawan;1;KPR;Tidak Bekerja;93;0
101097;MAZDA MX-30 EV;860000000;387000000;45,00%;0,06;473000000;13151045,91;49417296;36;26,6;Tidak Ada;Lama;32;Profesional;2;Milik Sendiri; profesional;98;0
101099;MAZDA CX-9;955500000;515970000;54,00%;0,04;439530000;7332950,033;10853587;60;67,6;Tidak Ada;Baru;47;Karyawan;2;Sewa;Karyawan;63;0
101107;MAZDA 2;371100000;215238000;58,00%;0,04;155862000;2600341,861;9666622;60;26,9;Tidak Ada;Lama;30;Swasta Nasional;1;Sewa;Swasta Nasional;85;0
101118;MAZDA 2;371100000;189261000;51,00%;0,04;181839000;3791407,096;12383817;48;30,6;Tidak Ada;Lama;34;Karyawan;1;Orang Tua;Tidak Bekerja;78;0
101125;MAZDA 6;717700000;337319000;47,00%;0,06;380381000;6349356,104;29699353;60;21,4;Tidak Ada;Lama;39;Profesional;2;KPR;Karyawan;98;0
101126;MAZDA MX-30 EV;860000000;430000000;50,00%;0,06;430000000;8969311,59;37177497;48;24,1;Tidak Ada;Baru;45;Profesional;3;Milik Sendiri; profesional;98;0
